DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__93E5E5D4F615EF636436CEFD35B5A384CC018943, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=4452, Duration=0.033129, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.23, Duration=372.143250, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___28D98B9BACB0D754935FE389E58534CB52AB6BFA, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=4194565, Duration=4.801620, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___9E48D523BD074D32C26379ECA6F407E7B68CFEF9, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=1048837, Duration=1.144461, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___E972E517DD60D95E1C46DFC4007337E93E155A8C, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=262403, Duration=0.526752, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___F6B3843AA2C3552BF9BB3A9EC0F3D6FD4CAACDF1, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=65795, Duration=0.078004, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___7C98BD541A8AEDBB90702D519DD62E0FECD22B3B, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=16643, Duration=0.026204, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___6773721C977F58677E206A77EB5EB90606B07256, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=7468, Duration=0.023492, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE028A7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.24, Duration=37.451317, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__4EE83C895828B45CA36D4968CBC323543A9A22B2, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=262407, Duration=0.089750, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
